referencia,termo1,termo2,termo3,termo4,termo5, termo6
Coceira,comichão,pruído,curubas,,
Erupção cutânea,vermelhidão,descamação,,,
Erupções nodulares na pele,prugido nodular,nódulos firmes,caroço na pele,,
Manchas discromáticas,machas claras,manchas escuras,mancha colorida,,
Espirros contínuos,espirrando muito,espirros persistentes,,,
Calafrios,horripilação,tremor de frio,,,
Arrepios,tremedeira,calafrio leve,,,
Olhos lacrimejantes,lagrimas nos olhos,olhos molhados,,,
Dor de estômago,dor de barriga,desconforto gástrico,,,
Acidez,Queimação,azia,,,
Úlceras na língua,Afta,feridas na língua,,,
Vômito,Ânsia de vômito,enjoo extremo,,,
Tosse,muita tosse,tosse intensa,,,
Dor no peito,aperto no peito,desconforto no tórax,,,
Pele amarelada,icterícia,amarelão,cor amarela na pele,,
Náusea,Ansia,mal-estar estomacal,,,
Perda de apetite,Perda de fome,Falta de fome,,,
Dor abdominal,Dor no abdomen,dor na barriga,,,
Amarelamento dos olhos,Olhos amarelos,icterícia ocular,,,
Ardência ao urinar,Dificuldade de urinar,desconforto urinário,,,
Manchas na urina,Urina colorida,coloração alterada da urina,,,
Passagem de gases,Sons no intestino,gases intestinais,,,
Coceira interna,Incomodação nos orgãos,irritação interna,,,
Indigestão,má digestão,dispepsia,,,
Desperdício muscular,Anemia,fraqueza muscular,,,
Manchas na garganta,Hematomas na garganta,lesões na garganta,,,
Febre alta,Calor excessivo,febre intensa,,,
Contatos extraconjugais,Muita vontade de transar,Virilidade,sexo,,
Fadiga,Cansaço,Exaustão,Esgotamento,Fraqueza,
Perda de peso,Definhar,Desengordar,,,
Inquietação,Perda de atenção,agitação,,,
Letargia,pouca energia,indolência,inércia,torpor,desinteresse
Nível de açúcar irregular,glicemia alterada,glicose alterada,,,
Visão turva e distorcida,visão embaçada,visão desfocada,,,
Obesidade,gordo,excesso de peso ,corpulência,adiposidade,
Fome excessiva,thais carla,apetite elevado,muita fome,,
Aumento de apetite,muito apetite,fome excessiva,,,
Poliúria (urina excessiva),mijadeira,urinando muito,,,
Olhos fundos,Pele escura ao redor dos olhos,cavidade ocular profunda,,,
Desidratação,falta de água no corpo,sem beber água,,,
Diarreia,caganeira,excesso de evacuamento,,,
